Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Power,461,3,4.633017448259079,2.6637009253896484,-6.570490005344778,0.878377203916517
Priority,461,3,3.985564732306225,2.486691417137321,-3.984032439133696,0.0176144726201209
Bidir,461,3,4.333540073879674,2.556968669709853,-4.245733008532077,0.3428761638197807
Power,9,1,2.8920946026904804,0.9542425094393248,-5.252715170374825,-1.513844658644788
Priority,9,1,2.650954757949053,0.9208187539523752,-4.128322883383376,-1.6840901483865252
Bidir,9,1,2.858537197569639,0.932248215733157,-4.385249942490212,-1.4140331526024388
Power,16,2,3.195605643430307,1.2041199826559248,-5.5201502362190205,-1.2582984268087107
Priority,16,2,2.98663179726426,1.2024201977780304,-4.164023288000068,-1.3661249566779274
Bidir,16,2,3.14624434898034,1.2041199826559248,-4.471971648876204,-1.2245687877471465
Power,2344,4,5.347613089233968,3.369957607346053,-6.59063913246499,1.5505641982416591
Priority,2344,4,4.346948992552451,2.9385685360202527,-4.037764575286267,0.8758574619763009
Bidir,2344,4,4.659606193672755,2.985119652848195,-4.495593687497105,1.1581348113524847
Power,96,2,3.930020276705593,1.9822712330395684,-5.906612827915326,0.1343285921450388
Priority,96,2,3.4543789923641564,1.8512583487190752,-3.9708197351080208,-0.2947295082634129
Bidir,96,2,3.821420720522829,1.915429150712764,-4.266273695800815,0.0651398042977851
Power,875,3,4.915729047340634,2.9420080530223136,-5.727894075680131,0.9411264204861762
Priority,875,3,4.073300911340886,2.610550975287444,-4.005670653695865,0.4177517075027746
Bidir,875,3,4.433510127061326,2.716944579211759,-4.169480655752299,0.5842114755490406
Power,1147,4,5.044069248565777,3.059563417901267,-6.554267013537744,1.2239999997101174
Priority,1147,4,4.275082627332724,2.842687230897816,-4.010049374776978,0.3688916370143763
Bidir,1147,4,4.601898729565488,2.8961954104542107,-4.391999135020063,0.8416528039646929
Power,489,3,4.66500843312921,2.68930885912362,-6.275691888181875,0.6674458584066251
Priority,489,3,4.0050788610635255,2.5197243971111547,-4.033302200516379,0.0494453455117196
Bidir,489,3,4.307462256888637,2.557158816158557,-4.177493836732891,0.3149325532823296
Power,416,3,4.582305633798837,2.619093330626743,-6.677385007652133,0.7643214929265278
Priority,416,3,3.983814945990274,2.487807951684702,-3.968214286967256,0.0162408884366997
Bidir,416,3,4.2635233229906,2.5057923731016936,-4.231092215767812,0.2785304556355421
Power,530,3,4.697245665950628,2.724275869600789,-6.223585349208777,0.7311546137475042
Priority,530,3,4.016894120037481,2.5295093241793505,-3.9733539357492393,0.323470057218248
Bidir,530,3,4.316766870141431,2.570722511719024,-4.296023030188065,0.4964347443665579
